,id,questionText,options,answerKey,scoreA,scoreB,scoreC,scoreD,scoreE,isCorrect,model,modelAnswer
0,075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","[{'label': 'A', 'text': 'ignore'}, {'label': 'B', 'text': 'enforce'}, {'label': 'C', 'text': 'authoritarian'}, {'label': 'D', 'text': 'yell at'}, {'label': 'E', 'text': 'avoid'}]",A,-95.9806801378727,-98.99505612254143,-100.13449642062187,-108.48040156066418,-96.7141005396843,True,albert-xxlarge-v2,A
1,61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,"[{'label': 'A', 'text': 'race track'}, {'label': 'B', 'text': 'populated areas'}, {'label': 'C', 'text': 'the desert'}, {'label': 'D', 'text': 'apartment'}, {'label': 'E', 'text': 'roadblock'}]",B,-68.24764677323401,-66.89413129165769,-70.05135826207697,-56.553228398784995,-68.34547707438469,False,albert-xxlarge-v2,D
2,4c1cb0e95b99f72d55c068ba0255c54d,To locate a choker not located in a jewelry box or boutique where would you go?,"[{'label': 'A', 'text': 'jewelry store'}, {'label': 'B', 'text': 'neck'}, {'label': 'C', 'text': 'jewlery box'}, {'label': 'D', 'text': 'jewelry box'}, {'label': 'E', 'text': 'boutique'}]",A,-50.045232847332954,-71.71945107728243,-96.45917242020369,-55.64318734779954,-61.44398519396782,True,albert-xxlarge-v2,A
3,02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,"[{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'mexico'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'atlas'}, {'label': 'E', 'text': 'oceans'}]",D,-57.16714535281062,-61.35320147499442,-60.657453464344144,-56.04724900983274,-73.22039438784122,True,albert-xxlarge-v2,D
4,23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?","[{'label': 'A', 'text': 'pretty flowers.'}, {'label': 'B', 'text': 'hen house'}, {'label': 'C', 'text': 'natural habitat'}, {'label': 'D', 'text': 'storybook'}, {'label': 'E', 'text': 'dense forest'}]",C,-49.21671652048826,-59.44013997167349,-56.16813802532852,-58.32317113317549,-61.176165498793125,False,albert-xxlarge-v2,A
5,e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,"[{'label': 'A', 'text': 'radio shack'}, {'label': 'B', 'text': 'substation'}, {'label': 'C', 'text': 'cabinet'}, {'label': 'D', 'text': 'television'}, {'label': 'E', 'text': 'desk'}]",D,-42.92498619481921,-43.51293270662427,-31.05676070600748,-21.304427241906524,-32.0252351462841,True,albert-xxlarge-v2,D
6,09555c056f3cf0b7e0b84d8df4be1db7,"The only baggage the woman checked was a drawstring bag, where was she heading with it?","[{'label': 'A', 'text': 'garbage can'}, {'label': 'B', 'text': 'military'}, {'label': 'C', 'text': 'jewelry store'}, {'label': 'D', 'text': 'safe'}, {'label': 'E', 'text': 'airport'}]",E,-57.44059368595481,-47.82620456838049,-49.27558575407602,-43.700091840233654,-40.30578458169475,True,albert-xxlarge-v2,E
7,3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","[{'label': 'A', 'text': 'carpet'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'breadbox'}, {'label': 'D', 'text': 'fridge'}, {'label': 'E', 'text': 'coach'}]",B,-104.73060179501772,-95.17513060569763,-105.02299151942134,-96.5348338112235,-108.97097298502922,True,albert-xxlarge-v2,B
8,86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,"[{'label': 'A', 'text': 'shirt pocket'}, {'label': 'B', 'text': ""calligrapher's hand""}, {'label': 'C', 'text': 'inkwell'}, {'label': 'D', 'text': 'desk drawer'}, {'label': 'E', 'text': 'blotter'}]",E,-43.92885357630439,-51.31037972914055,-49.94898344529793,-46.73261040588841,-41.87333804927766,True,albert-xxlarge-v2,E
9,cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,"[{'label': 'A', 'text': 'town'}, {'label': 'B', 'text': 'at hotel'}, {'label': 'C', 'text': 'mall'}, {'label': 'D', 'text': 'business sector'}, {'label': 'E', 'text': 'yellow pages'}]",D,-34.12163243989926,-43.009683141252026,-37.43195337802172,-43.71312929620035,-42.2745482546452,False,albert-xxlarge-v2,A
10,1a7f5b3c65364d9be002576660c914fe,Where do you put your grapes just before checking out?,"[{'label': 'A', 'text': 'mouth'}, {'label': 'B', 'text': 'grocery cart'}, {'label': 'C', 'text': 'super market'}, {'label': 'D', 'text': 'fruit basket'}, {'label': 'E', 'text': 'fruit market'}]",B,-52.84257938154042,-42.396865907125175,-48.66053517349064,-35.08278546668589,-41.838826638646424,False,albert-xxlarge-v2,D
11,dac769116ed064bc70936c15eb822c3e,"Before getting a divorce, what did the wife feel who was doing all the work?","[{'label': 'A', 'text': 'harder'}, {'label': 'B', 'text': 'anguish'}, {'label': 'C', 'text': 'bitterness'}, {'label': 'D', 'text': 'tears'}, {'label': 'E', 'text': 'sadness'}]",C,-46.10020865127444,-36.452202406711876,-41.18610888160765,-42.94442611373961,-33.401197358965874,False,albert-xxlarge-v2,E
12,f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"[{'label': 'A', 'text': 'state park'}, {'label': 'B', 'text': 'bus depot'}, {'label': 'C', 'text': 'garden'}, {'label': 'D', 'text': 'gym'}, {'label': 'E', 'text': 'rest area'}]",C,-47.49123987369239,-56.51476285420358,-49.72691239975393,-52.11380155570805,-64.27495806105435,False,albert-xxlarge-v2,A
13,b63b9809c203321d6659ddf8551894bf,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,"[{'label': 'A', 'text': 'loss of heat'}, {'label': 'B', 'text': 'revenge'}, {'label': 'C', 'text': 'expansion'}, {'label': 'D', 'text': 'relaxation'}, {'label': 'E', 'text': 'calm down'}]",A,-66.28166207764298,-86.78229567594826,-91.51300608739257,-80.49636196088977,-80.05800738092512,True,albert-xxlarge-v2,A
14,527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","[{'label': 'A', 'text': 'yard'}, {'label': 'B', 'text': 'basement'}, {'label': 'C', 'text': 'kitchen'}, {'label': 'D', 'text': 'living room'}, {'label': 'E', 'text': 'garden'}]",C,-79.02320356341079,-75.62092253332958,-66.14065137738362,-68.31123651750386,-75.64676374103874,True,albert-xxlarge-v2,C
15,e6766a66f8d326bf00fbf628a0e4ef24,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","[{'label': 'A', 'text': 'low lands'}, {'label': 'B', 'text': 'new york'}, {'label': 'C', 'text': 'forest'}, {'label': 'D', 'text': 'louisiana'}, {'label': 'E', 'text': 'everglades'}]",D,-134.69497156143188,-102.68418924696743,-116.90832541882992,-99.1182115226984,-130.3738378813723,True,albert-xxlarge-v2,D
16,a76403b4921a9281b6ee2a7241a5ec9f,What is it called when you slowly cook using a grill?,"[{'label': 'A', 'text': 'backyard'}, {'label': 'B', 'text': 'restaurant'}, {'label': 'C', 'text': 'crockpot'}, {'label': 'D', 'text': ""neighbor's house""}, {'label': 'E', 'text': 'barbeque'}]",E,-42.89318133145571,-37.59178904816508,-38.266254004789516,-51.950507782399654,-31.938379164785147,True,albert-xxlarge-v2,E
17,ad96098698b8378b2e79c6424920ffbd,What type of person typically contracts illness?,"[{'label': 'A', 'text': 'hospital'}, {'label': 'B', 'text': 'head'}, {'label': 'C', 'text': 'sick person'}, {'label': 'D', 'text': 'elderly person'}, {'label': 'E', 'text': ""doctor's office""}]",D,-34.21186601836234,-33.22013771161437,-24.557770451530814,-24.460318580269814,-28.893901523202658,True,albert-xxlarge-v2,D
18,6d4ed2c485187ed79ff3bdcc8cca6132,Where would you expect to find a pizzeria while shopping?,"[{'label': 'A', 'text': 'chicago'}, {'label': 'B', 'text': 'street'}, {'label': 'C', 'text': 'little italy'}, {'label': 'D', 'text': 'food court'}, {'label': 'E', 'text': 'capital cities'}]",D,-17.457804953708546,-23.556730531912763,-12.360812614206225,-28.537803974410053,-32.55849550900166,False,albert-xxlarge-v2,C
19,a40f5339ee858a0a119cbac052c5a2d0,"When eating everything on the tasting menu, what does one tend to feel?","[{'label': 'A', 'text': 'full stomach'}, {'label': 'B', 'text': 'getting full'}, {'label': 'C', 'text': 'gaining weight'}, {'label': 'D', 'text': 'sick'}, {'label': 'E', 'text': 'satisfaction'}]",B,-53.42936165747233,-48.516212570481,-57.12291718018241,-38.849029242875986,-35.50294261542149,False,albert-xxlarge-v2,E
20,4850bf8b6b309548ef623d5592ffbca2,What does playing soccer for a long time lead to?,"[{'label': 'A', 'text': 'excitement'}, {'label': 'B', 'text': 'fatigue'}, {'label': 'C', 'text': 'anger'}, {'label': 'D', 'text': 'hurting'}, {'label': 'E', 'text': 'getting tired'}]",E,-17.24052704870701,-13.15519624017179,-15.790383813902736,-15.75980058312416,-12.13845725916326,True,albert-xxlarge-v2,E
21,e6d99b4b76f74961a400ad0001b13b73,Which entrance would you use if you do not want to use the back entrance?,"[{'label': 'A', 'text': 'side'}, {'label': 'B', 'text': 'main'}, {'label': 'C', 'text': 'anterior'}, {'label': 'D', 'text': 'current'}, {'label': 'E', 'text': 'front'}]",B,-34.246701491996646,-37.23960131313652,-37.501803455874324,-41.09126755967736,-29.483803091337904,False,albert-xxlarge-v2,E
22,f5950a62f9eaae34f1e914b3cf5208cf,You can share files with someone if you have a connection to a what?,"[{'label': 'A', 'text': 'freeway'}, {'label': 'B', 'text': 'radio'}, {'label': 'C', 'text': 'wires'}, {'label': 'D', 'text': 'computer network'}, {'label': 'E', 'text': 'electrical circuit'}]",D,-57.675048757344484,-54.018962329253554,-53.38420616835356,-42.748618844896555,-62.68741447199136,True,albert-xxlarge-v2,D
